2025-07-22 21:56:09.405 [INFO   ] EventBus initialized
2025-07-22 21:56:10.328 [INFO   ] Configuration loaded from: /home/teej/projects/github/praxis/_Config/settings.json
2025-07-22 21:56:10.803 [INFO   ] StateManager: State loaded successfully from /home/teej/projects/github/praxis/_State/application.json
2025-07-22 21:56:10.813 [INFO   ] StateManager initialized: Path=/home/teej/projects/github/praxis/_State/application.json, AutoSave=True
2025-07-22 21:56:15.288 [INFO   ] Starting PRAXIS main loop
2025-07-22 21:56:15.328 [INFO   ] ScreenManager.Run: Starting main loop
2025-07-22 21:56:15.334 [INFO   ] Active screen: MainScreen
2025-07-22 21:56:15.337 [INFO   ] Active screen.Active: True
2025-07-22 21:56:15.941 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:16.014 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:16.069 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:16.126 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:16.180 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:16.237 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:16.295 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:16.353 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:16.407 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:16.462 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:16.517 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:16.577 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:16.657 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:16.714 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:16.768 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:16.823 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:16.880 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:16.937 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:16.993 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:17.055 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:17.109 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:17.170 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:17.232 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:17.286 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:17.348 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:17.411 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:17.478 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:17.532 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:17.586 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:17.643 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:17.698 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
